id	act	shot	refs	voice	text	hold	image_prompt	motion_prompt	vfx	sfx	transition
11	desafio	close-up	mesaque	mesaque	[calm] Nós não podemos adorar uma estátua de ouro. A nossa adoração pertence somente ao nosso Deus.	1.66	Close-up of Meshach with gentle unshakable resolve, chin slightly lifted, warm light on one side of his face, the golden statue glow softly out of focus behind him, family-friendly heroic framing	Meshach breathes steadily, shakes his head once and speaks with quiet courage, his hair moving in the wind	-	wind hush, distant horns fading, heartbeat-like drum	cut
12	desafio	over-shoulder	guarda,sadraque,mesaque,abednego	guarda	[serious] Vocês três, venham comigo! O rei precisa saber que vocês não obedeceram à ordem dele.	1.5	Over-shoulder shot from behind the guard captain facing the three calm Hebrew friends on the plain, his bronze armor in sharp foreground, their steady faces in focus, banners and drifting dust in the background	The captain gestures firmly toward the palace as the three friends exchange a calm glance and step forward together	-	armor clink, footsteps on dry earth, tense wind	cut
13	acusacao	wide	rei,guarda	guarda	[serious] Ó rei, estes três jovens não adoram os seus deuses e não se curvaram diante da estátua.	1.4	Wide throne room shot of the guard captain reporting to King Nebuchadnezzar on his golden throne, torch light flickering across the tall gold and lapis columns, long tense shadows, rich Babylonian architecture, only the two figures present	The captain bows while reporting as the king slowly leans forward, torch flames gutter and shadows stretch across the throne	-	echoing hall, fire crackle, tense low rumble	cut
14	acusacao	close-up	rei	rei	[angry] O quê? Tragam esses homens diante de mim agora mesmo!	1.5	Close-up of King Nebuchadnezzar's face flashing with furious disbelief, brows drawn tight, golden crown catching torch light, jaw clenched, dramatic warm rim light against deep shadow, family-friendly intensity	The king's eyes widen with fury as he grips his armrest and leans into the torch light, his crown flashing	-	sharp gong hit, echoing hall, fist on throne armrest	smash-cut
15	acusacao	medium	rei,sadraque,mesaque,abednego	rei	[serious] É verdade que vocês não servem aos meus deuses? Vou dar a vocês uma última chance.	1.5	Medium shot of the king confronting the three young Hebrews in the throne room, he towers on the dais steps while they stand calm below, torch flames between them, rich blue and gold architecture with long shadows	The king descends one step pointing at the three friends while they hold their ground, flames trembling with his voice	torch flames flaring with the king's anger	crackling torches, echoing voice, tense wind through the hall	cut
16	acusacao	low-angle	rei	rei	[angry] Se não se curvarem quando a música tocar, vocês serão jogados na fornalha de fogo ardente!	1.6	Low-angle shot of King Nebuchadnezzar looming with his final warning, arm extended toward a distant furnace glow visible through the hall doorway, crown and gold trim burning with torch light, dramatic perspective	The king thrusts his arm toward the furnace glow beyond the doorway as embers drift between the columns	ember drift and pulsing orange glow from the distant furnace	deep furnace roar far away, echoing threat, ember hiss	cut
17	acusacao	detail	-	narrator	[tense] Perto dali, a grande fornalha rugia. Suas chamas subiam altas, pintando o céu de laranja.	1.7	Detail shot of the massive brick furnace mouth roaring with towering orange flames, sparks spiraling upward into a dusk sky, heat distortion bending the air, glowing embers scattered on scorched ground, no people	Flames surge and coil out of the furnace mouth as sparks spiral into the darkening sky and heat ripples the air	roaring flame tongues, spark vortices, heat distortion	deep fire roar, crackling wood, whooshing heat gusts	cut
18	desafio	medium	sadraque,mesaque,abednego	sadraque	[calm] Ó rei, o nosso Deus pode nos livrar da fornalha e da sua mão.	1.5	Medium shot of Shadrach answering the king with respectful courage, hands open and calm, torch light warming his face, his two friends steady beside him softly out of focus, deep throne room behind	Shadrach steps forward with open hands and speaks clearly, his friends nodding slowly behind him, torch flames steady	-	quiet hall, soft flame crackle, fabric shift	cut
19	desafio	close-up	abednego	abednego	[determined] Mas, mesmo que Ele não nos livre, nós nunca vamos adorar a estátua de ouro.	1.5	Close-up of Abednego with serene unbreakable faith, gentle eyes shining in torch light, warm skin tones against deep blue shadows, quiet certainty on his young face, intimate powerful framing	Abednego lifts his gaze slowly and speaks the vow, his eyes glistening with calm certainty as torch light flickers	-	hushed hall, single deep drum, flame whisper	cut
20	fornalha	close-up	rei	rei	[angry] Então esquentem a fornalha sete vezes mais! E amarrem esses três agora!	1.5	Close-up of King Nebuchadnezzar shouting his furious command, face lit by furnace-orange glow, crown blazing with reflected fire, the background collapsing into darkness, family-friendly controlled intensity	The king roars the order as orange light flares across his face and his fist slams down out of frame	furnace glow pulsing over the king's face	roaring command echo, gong, rising fire rumble	smash-cut
21	fornalha	wide	-	narrator	[serious] Os servos obedeceram ao rei. A fornalha ficou tão quente que ninguém conseguia chegar perto.	1.6	Wide shot of the furnace blazing with impossible fury at dusk, flames erupting from every opening, scorched glowing ground, abandoned tools and water jars at a safe distance, no people, terrifying yet family-friendly scale	The furnace erupts brighter and brighter as waves of heat push rings of dust outward across the scorched ground	eruption of flames, shockwave heat ripples, ember storms	colossal fire roar, cracking bricks, howling wind	cut
22	fornalha	tracking	guarda,sadraque,mesaque,abednego	narrator	[tense] Amarrados com cordas, os três amigos foram levados até a boca da fornalha ardente.	1.6	Tracking shot of the guard captain leading Shadrach, Meshach and Abednego bound with ropes up a stone ramp toward the blazing furnace mouth, their faces calm amid swirling sparks, immense orange glow ahead	Camera tracks beside the bound friends walking steadily up the ramp as sparks swirl and the furnace glare grows blinding	spark swirls and blinding furnace glare	crackling inferno, footsteps on stone, rope strain	cut
23	fornalha	close-up	mesaque	mesaque	[reassuring] Não tenham medo, irmãos. O nosso Deus está conosco, até dentro do fogo.	1.5	Close-up of Meshach speaking courage to his brothers at the furnace mouth, orange firelight dancing on his calm face, ropes visible on his shoulders, sparks drifting like fireflies around him	Meshach turns toward his friends with a steady reassuring smile as firelight flickers across his face and sparks float upward	drifting spark motes and pulsing fire glow	close fire roar, heartbeat drum, soft spoken breath	cut
24	fornalha	extreme-wide	-	narrator	[tense] E eles caíram no meio das chamas. O fogo os cercou por todos os lados.	2.6	Extreme-wide shot of the furnace interior as a cathedral of fire, walls of flame rising like golden curtains, floor of glowing embers, a vast burning space with swirling fire vortices, no people visible in the inferno	Curtains of flame roll and swirl through the vast furnace interior as embers rise like glowing golden snow	cathedral-scale flame curtains and ember vortices	engulfing fire roar, deep rumble, showering sparks	dip-to-black
25	livramento	close-up	rei	rei	[amazed] Esperem! Nós não jogamos três homens amarrados dentro do fogo?	1.5	Close-up of King Nebuchadnezzar's face shifting from fury to astonishment, furnace light flickering in his wide eyes, crown slightly tilted, mouth open in disbelief, warm orange key light against night shadow	The king leaps up in shock, his eyes widening as the furnace light dances across his stunned face	-	sudden hush, distant fire, sharp intake of breath	cut
26	livramento	pov	sadraque,mesaque,abednego	rei	[astonished] Eu estou vendo quatro homens soltos, andando no meio do fogo! E o quarto brilha como um anjo!	1.5	POV through the blazing furnace mouth from the king's viewpoint: Shadrach, Meshach and Abednego walking unbound and unharmed among the flames, beside them a fourth presence of pure radiant golden-white light with no face or body details, awe-inspiring reverent glow	Through rippling heat the three friends walk free among the flames while a pillar of radiant golden light moves gently beside them	divine radiant light presence and rippling flame veils	muffled roar, ethereal shimmer tone, slow heartbeat	light-flash
27	livramento	medium	sadraque,mesaque,abednego	narrator	[awe] Dentro da fornalha, uma luz gloriosa caminhava com eles. Deus cuidava dos seus servos no meio do fogo.	1.6	Medium shot inside the furnace of the three friends walking peacefully through parted flames, ropes burned away, clothes untouched, a warm golden-white divine light enveloping them from beside, flames bowing away like curtains	The friends walk calmly as flames bend away from their path and the golden divine light pulses softly around them	parting flame curtains and enveloping divine light	softened fire, warm harmonic tone, gentle footsteps on embers	cut
28	livramento	wide	rei	rei	[amazed] Sadraque, Mesaque e Abednego, servos do Deus Altíssimo, saiam da fornalha e venham até aqui!	1.5	Wide shot of King Nebuchadnezzar standing at a respectful distance calling toward the blazing furnace mouth, his arms open, tall banners behind him, great orange glow lighting the night, humble wonder replacing pride	The king steps toward the furnace with open arms and calls out, his robe glowing in the firelight, sparks drifting past	-	fire roar softening, echoing call, night wind	cut
29	livramento	tracking	sadraque,mesaque,abednego	narrator	[warm] Os três amigos saíram andando do meio do fogo. Nem cheiro de fumaça ficou neles.	1.6	Tracking shot of Shadrach, Meshach and Abednego walking out of the furnace mouth unharmed, tunics spotless, hair untouched, gentle glow of warm light around them, the furnace still raging behind, night sky above	Camera tracks backwards as the three walk out of the flames in awe-inspiring calm, the fire raging harmlessly behind them	flames parting at the exit and a soft glowing halo of light	fire fading behind, slow footsteps, wondering gasps	cut
30	livramento	detail	guarda,sadraque	narrator	[amazed] O capitão olhou de perto, espantado. O fogo queimou as cordas, mas não tocou em nenhum deles.	1.5	Detail shot of the guard captain's hands lifting Shadrach's arm, burned rope pieces falling away, skin and sleeve completely unharmed, warm furnace glow in the background, wonder on the captain's face softly out of focus	Burned rope fragments crumble and fall in slow drifting ash as the captain turns Shadrach's unharmed arm in the firelight	drifting ash flakes catching the light	crumbling rope, soft ash fall, astonished murmur	cut
31	resposta	medium	rei,sadraque,mesaque,abednego	rei	[joyful] Bendito seja o Deus de Sadraque, Mesaque e Abednego! Ele enviou o seu anjo e livrou os seus servos!	1.4	Medium shot of King Nebuchadnezzar proclaiming with raised hands before the furnace glow, awe shining in his eyes, crown reflecting warm light, the three friends standing dignified nearby softly out of focus	The king raises his hands high in proclamation as warm light washes his face and his voice rings into the night	-	echoing proclamation, gentle night wind, distant horns	cut
32	resposta	wide	rei,sadraque,mesaque,abednego	rei	[solemn] Nenhum povo poderá falar contra o Deus deles, porque não existe outro deus que salve assim!	1.5	Wide shot of the king decreeing before the three honored friends under a starry Babylonian night, the furnace glow warm behind them, palace torches lining the path, banners high, dignified hopeful atmosphere	The king gestures a solemn decree while the three friends bow their heads humbly, torch flames swaying in the night breeze	-	night crickets, torch crackle, soft royal drums	cut
33	resposta	medium	sadraque,mesaque,abednego	sadraque	[joyful] O nosso Deus esteve conosco dentro do fogo! Ele é fiel!	1.5	Medium shot of Shadrach speaking with grateful joy between his two friends, their faces lit by warm torch light under the stars, honest emotional smiles, the quiet furnace glow far behind them	Shadrach places his hands on his friends' shoulders as they share a grateful smile, torch light flickering warmly	-	warm night ambience, soft laughter, cloth movement	cut
34	resposta	aerial	-	narrator	[happy] A notícia correu por toda a Babilônia. O Deus de Israel havia vencido o fogo da fornalha.	2.5	Aerial night view of Babylon glittering with torch lights along the walls and the ziggurat, the furnace now a soft distant ember glow on the plain, stars sweeping above the great city, peaceful monumental scale	Camera rises slowly over torch-lit Babylon at night as the distant furnace glow fades to a gentle ember on the plain	twinkling torch lights and drifting night haze	night wind, distant celebration drums, low city hum	dip-to-black
35	aplicacao	close-up	abednego	abednego	[gentle] Quando obedecemos a Deus, podemos confiar: Ele nunca nos deixa sozinhos.	1.5	Close-up of Abednego by a warm courtyard fire at night speaking gently as if to a friend, kind eyes reflecting the small safe flames, a soft blanket of stars above, intimate cozy family atmosphere	Abednego looks warmly toward the small fire and then up at the stars, the gentle flames reflecting in his eyes	-	small cozy fire, crickets, soft night breeze	cut
36	aplicacao	medium	sadraque,mesaque,abednego	narrator	[warm] Os três amigos continuaram servindo a Deus na Babilônia, com coragem e alegria no coração.	1.6	Medium shot of the three friends walking together at dawn through a peaceful Babylonian courtyard with palms and a small fountain, morning gold light, relaxed joyful expressions, birds crossing the sky	The three friends walk into the morning light laughing softly together as birds lift from the palms around the fountain	-	morning birds, fountain water, relaxed footsteps	cut
37	aplicacao	extreme-wide	-	narrator	[calm] E a fornalha se apagou. Mas a história dos três amigos nunca mais foi esquecida.	1.8	Extreme-wide dawn shot of the plain of Dura with the cold quiet furnace and the distant golden statue in soft morning mist, gentle pink and gold sky, birds far away, serene aftermath, no people	Morning mist drifts across the silent plain as the sky warms from pink to gold above the cold furnace	soft drifting dawn mist	gentle dawn wind, distant birds, deep peaceful tone	cut
38	aplicacao	low-angle	-	narrator	[softly] Você também pode confiar nesse Deus. Nos dias difíceis, Ele está com você, como esteve com eles.	1.6	Low-angle view of a brilliant starry sky above dark palm silhouettes, one warm golden glow brighter than the rest, deep blue night with soft slow clouds, reverent hopeful atmosphere, no people	Camera drifts up gently toward the brightest warm glow as thin clouds slide across the glittering starfield	soft glowing starlight bloom	deep calm wind, distant crickets, warm resonant tone	cut
39	aplicacao	medium	sadraque,mesaque,abednego	narrator	[warm] Assim como o fogo não venceu a fé dos três amigos, nada pode apagar o amor de Deus.	1.6	Medium shot of the three friends at sunrise on the city wall looking toward the horizon, wind in their tunics, warm light striking their hopeful faces, the plain of Dura peaceful far below	The three friends look to the sunrise as wind flows through their tunics, camera slowly pulls back along the wall	sun flare blooming over the horizon	high morning wind, distant city waking, warm swelling tone	cut
40	aplicacao	aerial	-	narrator	[warm] Porque Deus é fiel: Ele esteve na fornalha com eles, e quer estar com você também.	3.8	Aerial sunrise shot pulling away from golden Babylon into bright warm clouds, rays of morning light spreading across the sky like a blessing, softly glowing horizon, peaceful conclusion, no people	Camera rises through warm golden clouds as sunbeams spread wide over Babylon and the horizon glows brighter into white	spreading volumetric sunbeams and glowing clouds	warm swelling wind, soft bells, final gentle tone	dip-to-black
